Bulgarian,български,bg
Spanish,español,es
Czech,čeština,cs
Danish,dansk,da
German,Deutsch,de
Estonian,eesti keel,et
Greek,ελληνικά,el
English,English,en
French,français,fr
Irish,Gaeilge,ga
Croatian,hrvatski,hr
Italian,italiano,it
Latvian,latviešu valoda,lv
Lithuanian,lietuvių kalba,lt
Hungarian,magyar,hu
Maltese,Malti,mt
Dutch,Nederlands,nl
Polish,polski,pl
Portuguese,português,pt
Romanian,română,ro
Slovak,slovenčina (slovenský jazyk),sk
Slovenian,slovenščina (slovenski jezik),sl
Finnish,suomi,fi
Swedish,svenska,sv
Other language,Other language,ot
