Programming,Programmation,Programmplanung,Programmazione,Programación,Programowanie
Priorities,Priorités,Prioritäten,Priorità,Prioridades,Priorytety
P1. Knowledge transfer and innovation,P1. Transfert de connaissances et innovation,P1. Wissenstransfer und Innovation,P1. Trasferimento di conoscenze e innovazione,P1. Transmisión de conocimientos e innovación,P1. Transfer wiedzy i innowacje
P2. Competitiveness  ,P2. Compétititivité,P2. Wettbewerbsfähigkeit,P2. Competitività,P2. Competitividad,P2. Konkurencyjność  
P3. Food chain and risk managment,P3. Chaîne alimentaire et gestion du risque,P3. Nahrungsmittelkette und Risikomanagement,P3. Filiera agroalimentare e gestione dei rischi,P3. Cadena alimentaria y gestión de riesgos,P3. ‎Łańcuch dostarczania żywności i zarządzanie ryzykiem
P4. Ecosystems management,P4. Gestion des écosystèmes,P4. Ökosystemmanagement,P4. Gestione degli ecosistemi,P4. Gestión de los ecosistemas,P4. Zarządzanie ekosystemami
P5. Resource efficiency and climate,P5. Efficacité des ressources et climat,P5. Ressourceneffizienz und Klima,P5. Efficienza delle risorse e clima,P5. Eficiencia de los recursos y clima,P5. Efektywna gospodarka zasobami i klimat
P6. Social inclusion and local development,P6. Inclusion sociale et développement local,P6. Soziale Eingliederung und lokale Entwicklung,P6. Inclusione sociale e sviluppo locale,P6. Inclusión social y desarrollo local,P6. Włączenie społeczne i rozwój lokalny
Focus Areas,Domaines d'intervention,Schwerpunktbereiche,Aree d'interesse,Áreas de enfoque,Obszary docelowe
Measures,Mesures,Maßnahmen,Misure,Medidas,Środki
Monitoring,Suivi,Begleitung,Monitoraggio,Seguimiento,Monitorowanie
ESI Funds,Fonds ESI,ESI-Fonds,Fondi SIE,Fondos EIE,Fundusze ESI
